GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-recursos,com.innovatech.recursos.dto,ResourceDtos,3,0,0,0,1,0,1,0,1,0
ms-recursos,com.innovatech.recursos.messaging,ProjectEventConsumer,51,50,13,3,13,11,8,4,0,3
ms-recursos,com.innovatech.recursos.controller,ResourceController,43,37,0,0,7,6,4,6,4,6
ms-recursos,com.innovatech.recursos.config,OpenApiConfig,0,46,0,0,0,15,0,2,0,2
ms-recursos,com.innovatech.recursos.config,SecurityConfig,0,26,0,0,0,6,0,4,0,4
ms-recursos,com.innovatech.recursos.config,GlobalExceptionHandler,42,49,1,1,6,10,4,4,3,4
ms-recursos,com.innovatech.recursos.service,ResourceService,108,188,0,4,25,34,7,14,7,12
ms-recursos,com.innovatech.recursos,MsRecursosApplication,5,3,0,0,2,1,1,1,1,1
ms-recursos,com.innovatech.recursos.model,Resource.ResourceRole,0,39,0,0,0,2,0,1,0,1
ms-recursos,com.innovatech.recursos.model,Resource,4,0,0,0,2,0,1,0,1,0
